property crimes,	0.47637988589809566,	0.22693779568828262, 0.4722039289042988, 0.22297655047265608, 473.0170517848486, 4.625118972781538, 21.617421939591836, 0.10485444634015073
all crimes,	0.419103303091334,	0.17564757866206657, 0.4174330992424219, 0.17425039234313364, 1024.841817209717, 8.644121393556244, 31.823886131796467, 0.13387967701492134
violent crimes,	0.5071226499308923,	0.25717338207293033, 0.5098719680950714, 0.2599694238491415, 243.1463314778556, 3.2083277721264873, 15.47755170031349, 0.09858517733876125
misc crimes,	0.13738128671101646,	0.01887361793837451, 0.14765506861419875, 0.02180201928746374, 308.785196193252, 0.8107524280129029, 17.45619853693953, 0.02528173206520853
