20010101	,-7.998947368421054
20010102	,-10.11111111111111
20010103	,-8.049549549549546
20010104	,-3.597169811320754
20010105	,0.5
20010106	,-2.7610526315789476
20010107	,-0.6801886792452831
20010108	,-4.7608695652173925
20010109	,-7.493333333333334
20010110	,-3.8999999999999995
20010111	,-0.1344444444444444
20010112	,-0.22899999999999998
20010113	,1.1981481481481484
20010114	,1.6584905660377354
20010115	,1.6245901639344256
20010116	,-0.6646017699115047
20010117	,-3.188073394495414
20010118	,-4.463636363636364
20010119	,-3.0953271028037395
20010120	,-6.482022471910113
20010121	,-7.948913043478262
20010122	,-6.758762886597937
20010123	,-1.0892473118279569
20010124	,-4.433000000000002
20010125	,-5.869148936170212
20010126	,-3.3144144144144136
20010127	,-3.8949367088607594
20010128	,-6.620652173913041
20010129	,-0.12824427480916017
20010130	,2.5227272727272734
20010131	,1.2096491228070174
20010201	,-1.9550458715596322
20010202	,-12.78673469387755
20010203	,-7.948514851485147
20010204	,0.1765217391304347
20010205	,-1.3699115044247787
20010206	,-0.2315315315315315
20010207	,-3.1430894308943103
20010208	,4.398319327731091
20010209	,6.300609756097562
20010210	,-4.693162393162394
20010211	,-5.489898989898991
20010212	,-1.071578947368421
20010213	,1.4619999999999993
20010214	,1.5382550335570462
20010215	,-1.1944444444444444
20010216	,-1.2531531531531535
20010217	,-9.445744680851064
20010218	,-8.90108695652174
20010219	,1.0336734693877552
20010220	,1.0968085106382979
20010221	,-8.17204301075269
20010222	,-5.2376146788990825
20010223	,-4.0673469387755095
20010224	,0.6625
20010225	,5.181632653061224
20010226	,-0.6520833333333335
20010227	,-2.3736842105263163
20010228	,-6.644086021505378
20010301	,-1.6872340425531915
20010302	,1.8999999999999997
20010303	,1.7171717171717173
20010304	,-0.15100000000000002
20010305	,-3.775238095238095
20010306	,-2.758695652173913
20010307	,0.4010989010989011
20010308	,-0.24786324786324787
20010309	,-0.6000000000000001
20010310	,1.5043010752688173
20010311	,2.28
20010312	,3.307894736842106
20010313	,3.3947368421052633
20010314	,4.502439024390244
20010315	,4.478378378378378
20010316	,0.4904761904761906
20010317	,0.5285714285714286
20010318	,0.39468085106383005
20010319	,1.6771739130434784
20010320	,3.485263157894737
20010321	,4.698936170212765
20010322	,4.855102040816326
20010323	,5.138383838383837
20010324	,0.24347826086956517
20010325	,-5.31025641025641
20010326	,-4.624731182795698
20010327	,0.04893617021276594
20010328	,2.194444444444444
20010329	,4.677272727272726
20010330	,4.922105263157894
20010331	,5.810999999999999
20010401	,4.225225225225225
20010402	,6.038043478260869
20010403	,4.438095238095237
20010404	,5.837634408602152
20010405	,8.237113402061855
20010406	,12.732653061224491
20010407	,15.340178571428575
20010408	,16.55268817204301
20010409	,9.912149532710282
20010410	,8.016964285714286
20010411	,13.606779661016951
20010412	,14.01578947368421
20010413	,9.450561797752806
20010414	,11.0
20010415	,9.932967032967033
20010416	,3.581739130434783
20010417	,1.7035398230088497
20010418	,4.781818181818182
20010419	,9.54482758620689
20010420	,17.700000000000003
20010421	,20.779130434782612
20010422	,14.482608695652173
20010423	,18.54952380952381
20010424	,9.666315789473686
20010425	,10.940217391304348
20010426	,15.026595744680858
20010427	,15.43720930232558
20010428	,11.403370786516854
20010429	,14.41123595505618
20010430	,20.70842105263158
20010501	,23.393877551020406
20010502	,23.63978494623656
20010503	,24.070652173913043
20010504	,13.191346153846155
20010505	,12.421568627450982
20010506	,15.946236559139782
20010507	,17.43809523809523
20010508	,17.32967032967033
20010509	,19.898924731182795
20010510	,21.665686274509806
20010511	,14.423308270676689
20010512	,9.30618556701031
20010513	,10.68095238095238
20010514	,12.591428571428573
20010515	,20.581818181818186
20010516	,23.706000000000003
20010517	,19.816304347826097
20010518	,19.463440860215055
20010519	,16.88681318681319
20010520	,17.224731182795697
